system:index,City,Month,PBLTOP,PS,QV2M,T2M,U10M,V10M,.geo
34_00000000000000000017,Talcher,2017-11,91319.46875,98917.9921875,0.012400129809975624,294.4182434082031,-0.42279326915740967,-1.440049648284912,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_00000000000000000018,Thiruvananthapuram,2017-11,91392.9921875,97989.7578125,0.017147796228528023,297.6417236328125,-0.8318569660186768,-1.5719914436340332,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_00000000000000000019,Visakhapatnam,2017-11,92902.9765625,100863.0,0.01582575961947441,298.2325134277344,-2.9852421283721924,-3.5440170764923096,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000000,Ahmedabad,2017-12,91754.6171875,100384.3828125,0.0055761756375432014,293.7568054199219,-2.168790102005005,-1.1435736417770386,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000001,Aizawl,2017-12,87294.5625,92969.90625,0.010501340962946415,289.9017028808594,-0.3017996847629547,0.4221586287021637,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000002,Amaravati,2017-12,90982.0390625,100860.359375,0.01181767787784338,296.05657958984375,-2.0313780307769775,-0.872660756111145,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000003,Amritsar,2017-12,92808.9921875,98829.1015625,0.004001476801931858,288.0058898925781,1.1610960960388184,-0.8455796837806702,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000004,Bengaluru,2017-12,84297.9609375,91935.78125,0.011955894529819489,292.2025451660156,-2.942629814147949,-0.6677178740501404,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000005,Bhopal,2017-12,86373.4765625,96140.96875,0.005070201121270657,292.07763671875,-1.4035152196884155,-0.7359174489974976,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000006,Brajrajnagar,2017-12,93275.5,98157.0,0.008310427889227867,291.07672119140625,-0.5424403548240662,-1.411874771118164,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000007,Chandigarh,2017-12,85926.5390625,91583.34375,0.004300966858863831,286.6294860839844,-0.15043403208255768,-0.744324266910553,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000008,Chennai,2017-12,89779.28125,101277.390625,0.015623841434717178,299.3791198730469,-3.4335274696350098,-3.4950692653656006,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000009,Coimbatore,2017-12,86166.9375,96526.6796875,0.013277845457196236,295.9629211425781,-1.6594995260238647,-0.8816121220588684,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0000000000000000000a,Delhi,2017-12,94328.0078125,99070.3671875,0.004319075495004654,288.22418212890625,2.049649477005005,-1.527660846710205,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0000000000000000000b,Ernakulam,2017-12,91881.96875,100090.0859375,0.015475877560675144,298.7928771972656,-1.6087872982025146,-0.38142257928848267,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0000000000000000000c,Gurugram,2017-12,94328.0078125,99070.3671875,0.004319075495004654,288.22418212890625,2.049649477005005,-1.527660846710205,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0000000000000000000d,Guwahati,2017-12,95007.3515625,99864.4765625,0.01150282472372055,292.2934265136719,-1.270358920097351,-1.3766440153121948,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0000000000000000000e,Hyderabad,2017-12,87553.9921875,95817.3046875,0.008407818153500557,293.214599609375,-2.2078804969787598,-0.25622349977493286,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0000000000000000000f,Jaipur,2017-12,88678.0546875,97005.7265625,0.00368549139238894,289.9165954589844,-0.562071681022644,-1.17160165309906,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000010,Jorapokhar,2017-12,95245.4375,99500.5390625,0.008860902860760689,290.3846740722656,1.3072739839553833,-1.620370626449585,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000011,Kochi,2017-12,91881.96875,100090.0859375,0.015475877560675144,298.7928771972656,-1.6087872982025146,-0.38142257928848267,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000012,Kolkata,2017-12,95660.6640625,101410.3125,0.010899710468947887,291.7912292480469,0.7359026074409485,-1.941341757774353,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000013,Lucknow,2017-12,95742.9921875,100243.2421875,0.0055792611092329025,289.93524169921875,1.536764144897461,-0.5610389113426208,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000014,Mumbai,2017-12,91944.453125,99855.5546875,0.010113985277712345,295.52752685546875,-2.0468478202819824,-0.19358186423778534,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000015,Patna,2017-12,95489.1953125,100887.9609375,0.006251373328268528,291.6812438964844,1.7860674858093262,-0.45153969526290894,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000016,Shillong,2017-12,81273.3828125,87964.1875,0.009387889876961708,287.0792541503906,-0.08836666494607925,0.09122537076473236,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000017,Talcher,2017-12,93561.7109375,99145.8125,0.009397575631737709,291.5601501464844,0.16781972348690033,-1.1246670484542847,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000018,Thiruvananthapuram,2017-12,90597.8125,98209.6875,0.016196783632040024,296.81890869140625,-2.1569883823394775,-1.6527808904647827,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000019,Visakhapatnam,2017-12,93404.3359375,101163.140625,0.012615075334906578,295.77239990234375,-2.007744550704956,-3.2053029537200928,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000000,Ahmedabad,2018-01,88122.0,100221.296875,0.0036640309263020754,294.3642883300781,-0.942681610584259,-1.1699659824371338,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000001,Aizawl,2018-01,87277.1484375,92730.078125,0.00761078204959631,286.804443359375,0.12459868937730789,0.3451935946941376,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000002,Amaravati,2018-01,84541.140625,100733.1640625,0.010757955722510815,297.4080505371094,-1.3323016166687012,0.1451065093278885,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000003,Amritsar,2018-01,93065.828125,98611.453125,0.003492948366329074,286.3797302246094,1.0038458108901978,-0.6146079897880554,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000004,Bengaluru,2018-01,79897.71875,91840.3671875,0.010013713501393795,292.93365478515625,-2.508310556411743,-0.5938372015953064,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000005,Bhopal,2018-01,83027.234375,95982.109375,0.0034509263932704926,291.74322509765625,-0.6197221279144287,-0.8463524580001831,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000006,Brajrajnagar,2018-01,90308.578125,98004.0703125,0.005470804870128632,290.1717224121094,0.060246143490076065,-1.4964828491210938,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000007,Chandigarh,2018-01,86290.8984375,91343.7109375,0.0032715529669076204,284.3723449707031,0.494612455368042,-1.5191307067871094,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000008,Chennai,2018-01,92365.03125,101224.625,0.014391165226697922,298.3810119628906,-3.384730339050293,-2.510129928588867,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000009,Coimbatore,2018-01,83608.171875,96442.90625,0.011159619316458702,296.6451416015625,-1.4719679355621338,-0.5115485787391663,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0000000000000000000a,Delhi,2018-01,94261.03125,98866.515625,0.003174904966726899,286.37677001953125,2.47662353515625,-1.4603099822998047,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0000000000000000000b,Ernakulam,2018-01,89128.6875,100022.2109375,0.013787776231765747,299.8662414550781,-0.7860351800918579,-0.2768704891204834,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0000000000000000000c,Gurugram,2018-01,94261.03125,98866.515625,0.003174904966726899,286.37677001953125,2.47662353515625,-1.4603099822998047,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0000000000000000000d,Guwahati,2018-01,93372.296875,99637.8125,0.008814623579382896,289.418701171875,0.6668974757194519,-1.0965174436569214,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0000000000000000000e,Hyderabad,2018-01,82764.3671875,95681.140625,0.005776864942163229,294.4900207519531,-1.6027268171310425,-0.9966700673103333,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0000000000000000000f,Jaipur,2018-01,86569.484375,96793.734375,0.00283194612711668,289.0343322753906,0.17239515483379364,-1.0540385246276855,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000010,Jorapokhar,2018-01,94600.5390625,99350.0546875,0.005842139013111591,286.9922180175781,2.0904107093811035,-1.6083317995071411,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000011,Kochi,2018-01,89128.6875,100022.2109375,0.013787776231765747,299.8662414550781,-0.7860351800918579,-0.2768704891204834,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000012,Kolkata,2018-01,96007.2265625,101297.9296875,0.006829920224845409,288.4514465332031,1.2123907804489136,-1.6065138578414917,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000013,Lucknow,2018-01,94290.4296875,100035.96875,0.003845788538455963,287.5076599121094,2.4183075428009033,-0.9727993607521057,"{""type"":""MultiPoint"",""coordinates"":[]}"
