system:index,AOD_550,City,Month,.geo
3_00000000000000000016,282.2377625455485,Shillong,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000017,729.0679205395197,Talcher,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000018,415.7054553445227,Thiruvananthapuram,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000019,612.9179678317852,Visakhapatnam,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000000,618.8594878749523,Ahmedabad,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000001,364.1697420726582,Aizawl,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000002,699.447403181194,Amaravati,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000003,586.0135254649365,Amritsar,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000004,667.3315029989017,Bengaluru,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000005,619.3298357255408,Bhopal,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000006,759.9065785932295,Brajrajnagar,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000007,467.269206677404,Chandigarh,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000008,623.949807677381,Chennai,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000009,746.8853765662283,Coimbatore,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000a,449.8948320072014,Delhi,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000b,495.64777698038426,Ernakulam,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000c,442.8536951282745,Gurugram,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000d,546.0574402747029,Guwahati,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000e,697.4647366188548,Hyderabad,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000f,642.1323154357817,Jaipur,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000010,663.9153589274249,Jorapokhar,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000011,533.8737207110153,Kochi,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000012,674.1089860246371,Kolkata,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000013,715.6719158723635,Lucknow,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000014,698.4829960408772,Mumbai,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000015,673.4868367354642,Patna,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000016,331.64095743066935,Shillong,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000017,783.6390282011319,Talcher,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000018,434.627912040061,Thiruvananthapuram,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000019,725.0923424290415,Visakhapatnam,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000000,718.6458463741975,Ahmedabad,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000001,226.1147042564953,Aizawl,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000002,465.9038285751595,Amaravati,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000003,642.1874619513542,Amritsar,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000004,365.5964912280703,Bengaluru,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000005,713.1444149765994,Bhopal,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000006,981.3976063576783,Brajrajnagar,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000007,483.05874037411735,Chandigarh,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000008,553.5745416119362,Chennai,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000009,482.9599002302379,Coimbatore,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000a,629.9295577556782,Delhi,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000b,398.18920433320886,Ernakulam,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000c,646.6929789243262,Gurugram,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000d,243.56883396574713,Guwahati,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000e,901.7236054093215,Hyderabad,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000f,616.8623962749435,Jaipur,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000010,742.795976294928,Jorapokhar,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000011,497.4349126778784,Kochi,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000012,868.829319781079,Kolkata,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000013,670.9174349502798,Lucknow,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000014,684.4220977353996,Mumbai,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000015,627.6525316892895,Patna,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000016,378.8632309217047,Shillong,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000017,973.5731302131707,Talcher,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000018,283.5514457315917,Thiruvananthapuram,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000019,830.7751722590776,Visakhapatnam,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000000,,Ahmedabad,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000001,336.8412483039349,Aizawl,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000002,533.6860526872987,Amaravati,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000003,1393.0742849986707,Amritsar,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000004,395.04992679355786,Bengaluru,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000005,,Bhopal,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000006,1177.2896771259664,Brajrajnagar,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000007,519.102950703988,Chandigarh,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000008,503.83845259066163,Chennai,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000009,476.06123122480716,Coimbatore,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000a,906.1359548903255,Delhi,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000b,349.6922605377951,Ernakulam,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000c,825.7245584866621,Gurugram,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000d,170.25460223375708,Guwahati,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000e,801.4425229331331,Hyderabad,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000f,1016.4240194942615,Jaipur,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000010,378.43070995452246,Jorapokhar,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000011,353.9202902165075,Kochi,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000012,910.3133180968211,Kolkata,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000013,513.7920249871582,Lucknow,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000014,,Mumbai,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000015,367.49493289509735,Patna,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000016,161.54033193361332,Shillong,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000017,1021.760325991704,Talcher,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000018,347.1943480374899,Thiruvananthapuram,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000019,812.2423604635002,Visakhapatnam,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000000,,Ahmedabad,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000001,237.3211627082595,Aizawl,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000002,528.7149167976585,Amaravati,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000003,622.3726546889491,Amritsar,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000004,400.4915564598169,Bengaluru,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000005,,Bhopal,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000006,453.2816901408451,Brajrajnagar,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000007,621.2624241598492,Chandigarh,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000008,390.0100450165832,Chennai,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000009,403.0223810345322,Coimbatore,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000a,675.3398126107796,Delhi,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000b,333.98598648744115,Ernakulam,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000c,513.4772220814725,Gurugram,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000d,341.01037150386804,Guwahati,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000e,,Hyderabad,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000f,654.7149494675441,Jaipur,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000010,339.9745744216499,Jorapokhar,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000011,297.67025049355243,Kochi,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000012,313.34663892041874,Kolkata,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000013,682.8746177370032,Lucknow,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000014,,Mumbai,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000015,1028.1573157315731,Patna,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000016,290.2941176470588,Shillong,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000017,934.7045621241015,Talcher,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000018,329.3145845494132,Thiruvananthapuram,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000019,541.3857479131583,Visakhapatnam,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000000,653.4394272297669,Ahmedabad,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000001,177.3562063516154,Aizawl,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000002,593.7680766868473,Amaravati,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000003,571.3854600791318,Amritsar,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000004,579.0911531713542,Bengaluru,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000005,461.8862940630798,Bhopal,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000006,768.6811848688347,Brajrajnagar,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000007,389.7596291657717,Chandigarh,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000008,640.230620850425,Chennai,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000009,436.3296618018946,Coimbatore,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000000a,391.62167587266606,Delhi,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000000b,354.95945851274695,Ernakulam,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000000c,445.8534455263186,Gurugram,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000000d,439.0062000430222,Guwahati,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000000e,548.1004098360654,Hyderabad,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000000f,464.58658014587513,Jaipur,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000010,497.92881509457476,Jorapokhar,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000011,349.7608609537026,Kochi,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000012,377.5715483510341,Kolkata,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000013,582.9119572811362,Lucknow,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000014,616.6307673345065,Mumbai,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000015,547.1137505572422,Patna,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000016,148.7987731796683,Shillong,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000017,845.5976079211428,Talcher,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000018,365.5128540654098,Thiruvananthapuram,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000019,724.9600017892286,Visakhapatnam,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000000,589.8994591562392,Ahmedabad,2015-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000001,128.9161965653511,Aizawl,2015-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000002,613.7099296824543,Amaravati,2015-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000003,630.0886156102468,Amritsar,2015-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000004,497.0357109702754,Bengaluru,2015-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000005,489.3943573782494,Bhopal,2015-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000006,691.928273415325,Brajrajnagar,2015-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
